question,answer,pdf_output,pdf_similarity,pdf_distance,web_output,web_similarity,web_distance,both_output,both_similarity,both_distance
Why is the PTAC spitting out water?,The position might need to be adjusted. Make sure the PTAC is level,"The PTAC is designed to operate in a humid environment. If the PTAC is installed in a dry environment, the PTAC will spit out water.",0.35531908,1.135501,The PTAC is spitting out water because it is not installed correctly.,0.6393335,0.8493135,The PTAC is spitting out water because it is not installed correctly.,0.6393335,0.8493135
Why is the PTAC not cooling the room to the desired temperature?,"Check to see that it has refrigerant. If so, the PTAC may need a new thermostat","The PTAC is designed to cool the room to the setpoint temperature. If the room temperature is too high, the compressor will be turned off and the electric heat will be turned on. If the room temperature is too low, the compressor will be",0.68886316,0.7888433,The PTAC is not cooling the room to the desired temperature.,0.82135665,0.59773463,"The PTAC is designed to provide cooling to the room only when the room is occupied. If the room is not occupied, the PTAC will not provide cooling.",0.64070106,0.84770155
Why is the PTAC not heating the room to the desired temperature?,The PTAC may need a new thermostat,"The PTAC is designed to heat the room to the desired temperature. If the room temperature is too low, the PTAC will turn on the electric strip heat to warm the room to the desired temperature. If the room temperature is too high, the",0.662538,0.8215376,The PTAC is not heating the room to the desired temperature.,0.81445426,0.6091728,"The PTAC is designed to heat the room to the desired temperature. If the room is not heating to the desired temperature, check the following: ●      The PTAC is not operating. ●      The PTAC is not connected to the",0.7571162,0.69697034
How can I make my PTAC more efficient?,Make sure the unit and air filters are clean,The PTAC has many features that can be used to make the unit more efficient. The user must be familiar with these features in order to properly service the unit.,0.12971106,1.3193097,"PTACs are designed to be energy efficient. However, there are a few things you can do to make your PTAC more efficient.",0.11620637,1.3295065,"PTACs are designed to be energy efficient. However, there are a few things you can do to make your PTAC more efficient.",0.11620637,1.3295065
How does the cooling work?,Cooling begins automatically when the room temperature is four degrees below the setpoint,The cooling system is a heat pump. The heat pump is a device that uses the refrigerant to transfer heat from the indoor air to the outdoor air. The refrigerant is a gas that is pumped through the system. The refrigerant is a liquid,0.34945932,1.1406494,"The cooling process is a continuous cycle. The compressor is always running, and the evaporator coil is always being cooled.",0.45256484,1.0463607,"The cooling process is a continuous cycle. The compressor is always running, and the evaporator coil is always being cooled.",0.45256484,1.0463607
What is the maximum temperature that I can set?,The maximum temperature is eighty four degrees,The maximum temperature that can be set is 84°F/29°C.,0.73443675,0.728784,The maximum temperature that you can set is the temperature that the thermostat is set to.,0.57295793,0.9241666,The maximum temperature that can be set is 84°F/29°C.,0.73443675,0.728784
How do I change the temperature?,Press the plus or minus buttons to increase or decrease the temperature,Press the UP or DOWN button to change the temperature.,0.9247382,0.3879735,The temperature can be changed by pressing the temperature button on the remote control.,0.73681194,0.7255178,Press the SETPOINT UP or SETPOINT DOWN button to change the temperature.,0.88546926,0.4786035
How do I switch between fahrenheit and celsius?,Press and hold both the plus and minus buttons to change between fahrenheit and celsius,The PTAC control panel has a switch that allows you to select between the two scales.,0.33012918,1.1574721,The PTAC unit has a switch on the front panel that allows you to switch between the two.,0.30142012,1.1820153,The PTAC has a built in temperature sensor that will automatically adjust the temperature setting to the current temperature. The PTAC will automatically adjust the temperature setting to the current temperature.,0.43154413,1.0662607
How do I change the fan speed?,Press the button labeled speed to change the speed of the fan,Press the FAN button to cycle through the fan speeds.,0.88360643,0.48248035,The fan speed can be changed by pressing the fan speed button on the control panel.,0.8657844,0.5181035,The fan speed can be changed by pressing the FAN button. The fan speed will cycle through the settings as follows: P °C Med O OHeat HIGH-MED-LOW-HIGH. °F Low o OFan CONSTANT,0.8565867,0.535562
What is the LC error code?,The LC error code indicates that the PTAC control panel is disabled and can only be controlled via the wall thermostat,The LC error code is a code that indicates a problem with the control board.,0.65012044,0.8365159,The LC error code is a code that is displayed on the LCD screen of the air conditioner. It is a code that indicates that the air conditioner is not operating properly.,0.675484,0.80562514,The LC error code is a code that is displayed on the control panel. It is a code that indicates a problem with the air conditioner.,0.68600786,0.7924547
What is the FC error code?,The FC error code indicates that the PTAC control panel is disabled and can only be controlled via the front desk control,The FC error code is a code that indicates a problem with the evaporator coil.,0.57452434,0.9224703,The FC error code is a code that is displayed on the control panel of the air conditioner. It is a code that is displayed when the air conditioner is not functioning properly.,0.5662647,0.9313812,The FC error code is a code that is displayed on the control panel when the unit is in heating mode. The FC error code is displayed when the unit is in heating mode and the outdoor temperature is below the setpoint temperature.,0.5707518,0.9265511
What is the AS error code?,The AS error code indicates there is a room temperature sensor error,The AS error code is a code that indicates that the room temperature sensor is not functioning properly.,0.91861695,0.40344292,The AS error code is a code that is displayed on the PTAC’s display panel. It is a code that indicates that the unit is not operating properly.,0.63453346,0.854946,AS error code is a code that indicates that the room temperature sensor is not functioning properly.,0.8816096,0.48660132
What is the ES error code?,The ES error code indicates there is an evaporator temperature sensor error,The ES error code indicates that the evaporator temperature sensor is not functioning properly.,0.97004795,0.24475312,The ES error code is a code that is displayed on the PTAC unit when the unit is not operating properly. The ES error code is displayed on the PTAC unit when the unit is not operating properly. The ES error code is displayed on the,0.652927,0.8331545,The ES error code is a code that indicates that the evaporator coil temperature is too high.,0.87118256,0.5075775
What is the CS error code?,The CS error code indicates there is a condenser temperature sensor error,The CS error code indicates that the room temperature sensor is not functioning properly.,0.85493565,0.538636,The CS error code is a code that is displayed on the PTAC display panel. It is a code that indicates a problem with the compressor.,0.6774506,0.80318063,The CS error code is a code that indicates a problem with the compressor. The compressor is the part of the air conditioner that makes the air cold. The compressor is a motor that turns a fan to make the air cold. The compressor is located,0.77233064,0.6747877
What is the OS error code?,The OS error code indicates there is an outside temperature sensor error,The OS error code is a code that indicates a problem with the unit. The error code is displayed on the control panel.,0.60601985,0.8876712,The OS error code is a code that is displayed on the PTAC’s control panel. It is a code that indicates a problem with the unit’s operation.,0.48284835,1.0170069,The OS error code is a code that is displayed on the control panel of the air conditioner. It is a code that indicates a problem with the air conditioner.,0.61769533,0.8744193
What is the HS error code?,The HS error code indicates there is an exhaust temperature sensor error,HS error code is a code that indicates that the unit is not operating properly.,0.6978784,0.7773309,The HS error code is a code that is displayed on the PTAC unit when the unit is not operating properly. The HS error code is displayed on the PTAC unit when the unit is not operating properly. The HS error code is displayed on the,0.5958282,0.89907944,HS error code is a compressor error code. It is a compressor error code that indicates that the compressor is not running.,0.6815707,0.79803437
What is the LE error code?,The LE error code indicates there is a wall thermostat error,The LE error code is a code that indicates that the unit is not receiving a signal from the room temperature sensor.,0.86440176,0.5207655,The LE error code is a code that is displayed on the PTAC unit when the unit is not operating properly. The LE error code is displayed on the PTAC unit when the unit is not operating properly. The LE error code is displayed on the,0.6462908,0.84108186,"The LE error code is a code that indicates that the unit is not receiving a signal from the thermostat. This can be caused by a number of things, including a bad thermostat, a bad wiring connection, or a bad sensor.",0.884216,0.48121524
What is the LO error code?,The LO error code indicates the room temperature is lower than thirty two degrees,The LO error code indicates that the room temperature is lower than 32°F/0°C.,0.9672357,0.2559858,The LO error code is a code that is displayed on the LCD screen of the PTAC. It is a code that indicates that the PTAC is not receiving the proper voltage from the power source.,0.6570099,0.828239,The LO error code is a code that indicates that the room temperature is too low.,0.93836814,0.3510897
What is the FP error code?,The FP error code indicates the unit is in low temperature protection mode,The FP error code is a code that indicates that the unit is not receiving a signal from the room temperature sensor.,0.8133258,0.6110226,The FP error code is a code that is displayed on the PTAC unit when the fan motor is not running. The fan motor is the part of the PTAC unit that is responsible for moving air through the unit. The fan motor is controlled by,0.634661,0.85479695,The FP error code is a code that indicates that the unit is not receiving a signal from the thermostat.,0.8172983,0.60448605
What is the HI error code?,The HI error code indicates the room temperature is higher than ninety nine degrees,The HI error code indicates that the unit is not able to maintain the setpoint temperature.,0.80198306,0.62931234,The HI error code is a code that is displayed on the PTAC unit when the fan speed is set to HI. The HI fan speed is the highest speed available on the PTAC unit.,0.66957814,0.81292295,The HI error code is a compressor restart delay. It is a safety feature that prevents the compressor from restarting too soon. The compressor will restart after 3 minutes of inactivity.,0.6518419,0.83445543
What should I do if I get an error code?,"Unplug the unit and plug it back in. If the error persists, look up the error code and how to fix it","If you get an error code, unplug the unit and plug it back in. If error repeats, call for service.",0.8167122,0.6054548,"If you get an error code, please call the manufacturer for assistance.",0.67100775,0.81116223,"If you get an error code, unplug the unit and plug it back in. If error repeats, call for service.",0.8167122,0.6054548
How do I remove the front panel?,Pull out at the bottom to release it from the tabs and then lift up,"To remove the front panel, pull out at the bottom to release it from the tabs (1). Then lift up (2).",0.63512236,0.8542573,The front panel is held in place by two screws. Remove the screws and the panel will come off.,0.50433975,0.995651,"To remove the front panel, you will need to remove the screws that hold the front panel in place.",0.4267416,1.0707554
How do I test the power supply cord?,"Plug in the air conditioner, press the TEST button and then press the RESET button. The power supply cord should now be supplying electricity to the unit","Plug in the air conditioner. The power supply cord will have TWO buttons on the plug head. Press the TEST button; you will notice a click as the RESET button pops out. Press the RESET button; again, you will notice a",0.8968972,0.45409885,"Visually inspect the power cord for signs of damage such as fraying. If your window air conditioner is on the newer side, it should feature a circuit breaker in the power cord; check to see if the breaker has tripped. If everything",0.71846133,0.7503848,The power supply cord contains a current device that senses damage to the power cord. To test your power supply cord do the following: 1. Plug in the air conditioner. 2. The power supply cord will have TWO buttons on the plug head.,0.7143733,0.7558132
What should I do if the power supply cord is damaged?,The power supply cord must be replaced,"The power supply cord must be replaced by one obtained from Direct Supply Equipment & Furnishings. When 265V units are to be installed, the power supply must be permanent wiring. Permanent wiring may be done through the accessory subbase. An exposed cord",0.5839555,0.91218925,"If the power supply cord is damaged, replace it.",0.8939832,0.4604713,"The power supply cord must be replaced by one obtained from Direct Supply Equipment & Furnishings. When 265V units are to be installed, the power supply must be permanent wiring. Permanent wiring may be done through the accessory subbase. An exposed cord",0.5839555,0.91218925
What kind of refrigerant is used?,The PTAC unit uses R-410A refrigerant,R-410A refrigerant is used in all Direct Supply PTAC units.,0.9242187,0.38931033,The refrigerant used in a PTAC unit is a liquid called Freon. It is a chlorofluorocarbon (CFC) that is non-toxic and non-flammable. It is also non-ozone de,0.76728475,0.6822247,R-410A is the most common refrigerant used in PTAC units.,0.93136764,0.3704929
What is low temperature protection?,If the unit senses the room temperature to be below thirty two degrees then the fan motor will turn on and warm the room to forty degrees,Low temperature protection is a safety feature that prevents the unit from operating at temperatures below the setpoint.,0.35317343,1.1373885,Low temperature protection is a safety feature that shuts off the unit if the temperature drops below a certain point.,0.41911003,1.0778588,Low temperature protection is a safety feature that prevents the unit from operating at temperatures below the setpoint.,0.35317343,1.1373885
What is the recommended gauge for thermostat wire?,The recommended wire gauge is 18 to 20 gauge solid thermostat wire,18- to 20-gauge solid thermostat wire is recommended.,0.93356735,0.36450723,The recommended gauge for thermostat wire is 14.,0.9118826,0.4198036,18- to 20-gauge solid thermostat wire is recommended.,0.93356735,0.36450723
How do I clean the air filters?,"Pull up on the air filter to remove, vacuum off heavy soil, run water through the filter, and dry thoroughly","To clean the air filters, follow these steps: 1. Turn off the unit and disconnect power supply. 2. To clean the air filters, use water and a mild detergent. DO NOT Pull up use bleach or abrasive cleaners. Some commercial",0.6841619,0.79478073,"The air filters should be cleaned once per month. Filters that are not cleaned will become clogged and restrict airflow, which can lead to major component damage. If an air filter becomes torn, has holes, or other damage, replace it with a",0.49632508,1.0036683,"The air filters should be cleaned once per month. Filters that are not cleaned will become clogged and restrict airflow, which can lead to major component damage. If an air filter becomes torn, has holes, or other damage, replace it with a",0.4963251,1.0036684
What should I do if an air filter is torn or damaged?,If the filter is damaged then it should be replaced immediately,"If an air filter is torn or damaged, it should be replaced immediately.",0.8173736,0.6043618,"If an air filter is torn or damaged, replace it with a new one.",0.81161314,0.6138193,"If an air filter is torn or damaged, replace it with a new one.",0.81161314,0.6138193
How often should I clean the vent filter?,You should clean the vent filter twice a year,The vent filter should be cleaned once every two weeks or as required.,0.8568445,0.5350807,The vent filter should be cleaned once per month.,0.9116691,0.4203116,The vent filter should be cleaned monthly.,0.9336254,0.36434788
Who do I call to request a warranty?,To request a warranty you can call Directy Supply Equipment and Furnishings at 1-800-634-7328,"Please contact Direct Supply Equipment & Furnishings at 1-800-634-7328, 6767 N. Industrial Road, Milwaukee, WI 53223, SalesSupport@DirectSupply.com 1-800-634-7328",0.5887739,0.9068914,You can call the manufacturer directly to request a warranty.,0.78298545,0.6588089,"You can call Direct Supply Equipment & Furnishings at 1-800-634-7328, 6767 N. Industrial Road, Milwaukee, WI 53223, SalesSupport@DirectSupply.com 1-800-634-73",0.62526804,0.8657158
Why does the PTAC vibrate?,Make sure the PTAC is secured firmly to the wall,The PTAC is designed to vibrate when the compressor is running. This is normal.,0.5703116,0.9270259,The PTAC is designed to vibrate when the compressor is running. This is normal.,0.5703116,0.9270259,The PTAC is designed to vibrate when the compressor is running. This is normal.,0.5703116,0.9270259
How do I turn the PTAC off?,Press the red power button to turn the unit on or off,Press the POWER button to turn the PTAC off.,0.5447579,0.9541932,"The PTAC can be turned off by pressing the ""OFF"" button on the front panel.",0.3217164,1.1647178,"The PTAC can be turned off by applying a 24VAC signal across terminals FC(L) and Dip switch for FRONT DESK CONTROL FC(N). If 24VAC is present, the PTAC will turn on. If 24V",0.4386872,1.0595404
What are the dimensions of the PTAC?,The dimensions of the PTAC are 42.0x16.0x23.9 inches,"The PTAC is approximately 16"" wide by 16"" deep by 16"" high.",0.8062048,0.6225676,"The PTAC is approximately 12"" x 12"" x 12"".",0.8160948,0.6064738,"The PTAC is approximately 12"" x 12"" x 12"" (30.5 x 30.5 x 30.5 cm).",0.84099126,0.5639303
What is the COOL mode?,This mode cools the room automatically when the room temperature is above the setpoint and stops when the room temperature is 4 degrees below the setpoint,The COOL mode is used to cool the room.,0.7483934,0.70937544,The COOL mode is a setting that allows the compressor to run at a lower speed to cool the air.,0.6620652,0.8221131,The COOL mode is used to cool the room.,0.74839336,0.7093755
What is the HEAT mode?,This mode heats the room automatically to the setpoint temperature,The HEAT mode is used to heat the room.,0.8278173,0.5868266,The heat mode is used to heat the air in the room.,0.80142635,0.6301963,The HEAT mode is used to heat the room.,0.82781726,0.58682656
What is the FAN mode?,This mode uses only the fan without any heating or cooling,The FAN mode is used to control the fan speed. The fan speed can be set to run continuously in both heating and cooling mode via dip switch settings on the control board.,0.7561146,0.6984061,The FAN mode is the mode that the PTAC is in when the system is not in operation.,0.65732276,0.8278616,FAN mode is the fan speed that is selected by the user.,0.7069133,0.76561993
What does the Constant Fan button do?,"While in cooling mode, press this button to turn the constant fan function on or off. This will continuously run the fan","The Constant Fan button turns the Constant Fan function on or off. When the function is turned on, the constant fan light will illuminate. When the function is turned off, the POWER constant fan light will turn off.",0.6428071,0.84521365,The Constant Fan button is used to turn the fan on and off.,0.6512813,0.8351273,"The Constant Fan button turns the Constant Fan function on or off. When the function is turned on, the constant fan light will illuminate. When the function is turned off, the POWER constant fan light will turn off.",0.6428071,0.84521365
How do I fix an AS error code?,"You should check the connection between the temperature sensor and the PCB. If that is fine, then measure the resistance of the sensor","If the AS error code is displayed, unplug the unit and plug it back in. If error repeats, call for service.",0.390103,1.1044428,The AS error code is a generic error code that is used by the air conditioning system to indicate a problem. The AS error code is a four-digit code that is displayed on the control panel. The AS error code is displayed on the control panel,0.27141055,1.2071369,AS error codes are caused by a problem with the air conditioner. The air conditioner will not operate properly. The air conditioner will not operate properly. The air conditioner will not operate properly. The air conditioner will not operate properly.,0.33600345,1.1523861
How do I fix an E5 error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The E5 error code indicates a problem with the evaporator coil. The evaporator coil is located in the outdoor unit.,0.33869225,1.1500505,The E5 error code is a generic error code that is used by many different brands of air conditioners. It is not a specific error code for a specific model.,0.28594908,1.1950325,The E5 error code is a generic error code that is used by many different brands of air conditioners. It is not a specific error code for your particular air conditioner.,0.2958733,1.1866988
How do I fix a CS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","If the unit is in cooling mode, the compressor will cycle off after 5 minutes. If the unit is in heating mode, the compressor will cycle off after 5 minutes.",0.1406495,1.3109924,The CS error code is a generic error code that is used by the central control system to indicate a problem. The error code is displayed on the control panel and on the display screen of the thermostat.,0.35652706,1.1344366,The following is a list of common error codes and their meanings.,0.14507483,1.3076125
How do I fix an OS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","If the unit displays an error code, unplug the unit and plug it back in. If the error code repeats, call for service.",0.39748013,1.0977429,The error code is a code that is displayed on the screen of the unit. It is a code that is displayed on the screen of the unit. It is a code that is displayed on the screen of the unit. It is a code that is,0.21535325,1.2527146,The error code is a code that is displayed on the screen of the unit. It is a code that is displayed on the screen of the unit. It is a code that is displayed on the screen of the unit. It is a code that is,0.2153533,1.2527148
How do I fix a HS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","If the error code is HS, the unit will not operate. The HS error code will appear on the control panel display.",0.24795946,1.2264102,The error code is a code that is displayed on the PTAC unit. It is a code that is displayed on the PTAC unit. It is a code that is displayed on the PTAC unit. It is a code that is displayed on the,0.22107424,1.2481395,The error code is a code that is displayed on the control panel of the unit. It is a code that is displayed on the control panel of the unit. It is a code that is displayed on the control panel of the unit. It is a,0.23704508,1.2352773
How do I fix an E4 error code?,Check the signal wire between the display board and the main board,The E4 error code indicates a problem with the evaporator coil. The evaporator coil is located in the outdoor unit.,0.22009465,1.2489239,The E4 error code is a generic error code that is used by many different brands of air conditioners. It is not a specific error code for your particular model.,0.19487351,1.2689575,The E4 error code is a generic error code that is used by many different brands of air conditioners. It is not a specific error code for your particular model.,0.19487351,1.2689575
How do I fix a LE error code?,Check if the wiring between the controller and dip switch board is correct,"If the unit is in heating mode, the temperature setting can not be higher than 84°F/29°C.",0.031652585,1.3916521,The LE error code is a generic error code that is used by the control board to indicate a problem with the unit. The LE error code is not a specific error code for a particular component.,0.15250708,1.3019164,The LE error code is a result of a problem with the evaporator coil. The evaporator coil is located in the rear of the unit. The evaporator coil is a coil of copper tubing that is wrapped in a plastic sleeve. The evaporator,0.15438426,1.3004739
How do I access the dip switches?,Make sure the unit is powered off and then remove the front panel. The dip switches are located in the bottom right hand corner of the unit.,"To access the dip switches, remove the front panel. (See Fig. 1)",0.8628848,0.52367026,The PTAC has a front panel that can be removed to access the dip switches.,0.5836059,0.9125725,"To access the dip switches, remove the front panel.",0.86721396,0.51533675
What does the S1 dip switch do?,If the S1 switch is up then only electric heat is on. If the S1 switch is down then the electric heat and pump heat are on.,The S1 dip switch controls the operation of the electric heat only.,0.74479616,0.7144285,The S1 dip switch is used to select the fan speed. The fan speed is controlled by the fan speed control relay. The fan speed control relay is controlled by the S1 dip switch. The S1 dip switch is located on the front of,0.5215546,0.978208,The S1 dip switch is used to select the type of heat pump operation.,0.72469455,0.74203193
What does the S2 dip switch do?,If the S2 switch is in the up position the temperature display is in Celsius. If the S2 switch is in the down position the temperature display is in Fahrenheit.,The S2 dip switch controls the display of the temperature in °C or °F.,0.77329296,0.6733604,The S2 dip switch is used to select the fan speed. The fan speed is controlled by the fan speed control relay. The fan speed control relay is controlled by the S1 dip switch. The S1 dip switch is used to select the fan,0.44149527,1.0568869,The S2 dip switch is used to select the temperature display in °C or °F.,0.752179,0.7040184
What does the S3 dip switch do?,"If the S3 switch is in the UP position, the wall thermostat is enabled. If the S3 switch is in the DOWN position, the control panel is enabled.",The S3 dip switch is used to connect a wired wall thermostat to the PTAC.,0.6682231,0.8145883,The S3 dip switch is used to select the fan speed. The fan speed is controlled by the fan speed control relay. The fan speed control relay is controlled by the S3 dip switch.,0.62221175,0.8692391,The S3 dip switch is used to enable or disable the wall thermostat.,0.8130986,0.61139435
What does the S4 dip switch do?,The S4 and S5 switches are used together to select the temperature set point range.,The S4 dip switch is used to select the setpoint range for the unit. The unit can be set to a range of 61°F - 86°F (16°C - 30°C) or 65°F - 78°F,0.74795276,0.70999634,The S4 dip switch is used to select the fan speed.,0.6763082,0.80460155,The S4 dip switch is used to select the setpoint range for the unit. The unit will cycle through the following setpoint ranges: S4*S5: 61°F - 86°F (16°C - 30°C),0.7962434,0.6383676
What does the S5 dip switch do?,The S4 and S5 switches are used together to select the temperature set point range.,The S5 dip switch is used to select the setpoint range for the unit. The unit can be set to a range of 63°F - 80°F (17°C - 27°C).,0.7706219,0.6773155,The S5 dip switch is used to select the fan speed. The fan speed is controlled by the fan motor. The fan motor is controlled by the S5 relay. The S5 relay is controlled by the S5 dip switch. The S5,0.6219851,0.8694999,"The S5 dip switch is used to select the setpoint range for the unit. The unit will cycle through the setpoint range when the S5 dip switch is in the UP position. When the S5 dip switch is in the DOWN position,",0.7208015,0.74725986
What does the S6 dip switch do?,"If the S6 switch is in the UP position, the fan is set to continuously run for heating. If the S6 switch is set in the DOWN position, the fan is set to cycle for heating.",The S6 dip switch is used to select the fan speed for heating or cooling.,0.7579457,0.69577914,The S6 dip switch is used to select the fan speed. The fan speed is controlled by the fan motor. The fan motor is controlled by the fan speed control relay. The fan speed control relay is controlled by the fan speed control board. The,0.73118246,0.7332359,The S6 dip switch is used to select the fan cycle for heating or cooling.,0.7746512,0.6713402
What does the S7 dip switch do?,"If the S7 switch is in the UP position, the fan is set to continuously run for cooling. If the S7 switch is set in the DOWN position, the fan is set to cycle for cooling.",The S7 dip switch controls the fan speed and mode of the unit.,0.789633,0.6486402,The S7 dip switch is used to select the fan speed. The fan speed is controlled by the fan motor. The fan motor is controlled by the S7 relay. The S7 relay is controlled by the S7 dip switch. The S7,0.71881425,0.7499144,The S7 dip switch is used to select the mode of operation of the PTAC. The S7 dip switch is located on the control panel. The S7 dip switch is used to select the mode of operation of the PTAC. The S,0.42419976,1.0731264
What does the S8 dip switch do?,"If the S8 switch is in the UP position, low temperature protection mode is enabled. If the S8 switch is set in the DOWN position, low temperature protection mode is disabled.",The S8 dip switch is used to enable or disable the Low Temp Protection feature.,0.8278072,0.5868439,The S8 dip switch is used to select the fan speed.,0.6584315,0.82652116,The S8 dip switch is used to select the Low Temp Protection function.,0.81917155,0.60137904
What does the S9 dip switch do?,"If the S9 dip switch is in the UP position, it is set to use the wall thermostat. If the S9 dip switch is in the DOWN position, it is set to use the PTAC's thermostat.",The S9 dip switch is used with some types of wall thermostats. It is used to delay the fan operation for 3 seconds after the thermostat turns the unit on. This delay is used to allow the unit to reach the setpoint,0.7601052,0.6926685,The S9 dip switch is used to select the fan speed. The fan speed is controlled by the fan speed control relay. The fan speed control relay is controlled by the S9 dip switch. The S9 dip switch is located on the back of,0.6353138,0.8540332,The S9 dip switch is used with some types of wall thermostats. It is used to delay the start of the fan for 3 seconds after the thermostat has been turned on. This delay is used to allow the thermostat to,0.7468562,0.71153903
What dos the S11 dip switch do?,"If the S11 dip switch is in the UP position, there is a load delay of 3 seconds. If the S11 dip switch is in the down position, it is set to normal.",The S11 dip switch is used to select the mode of operation for the PTAC.,0.58025676,0.9162348,The S11 dip switch is used to select the fan speed. The fan speed is controlled by the fan motor. The fan motor is controlled by the S11 dip switch.,0.55151564,0.947084,The S11 dip switch is used to set the fan speed for the heat pump.,0.6390301,0.8496704
What should I use to clean the PTAC?,"To clean, use water and a mild detergent",Use a soft cloth dampened with a mild detergent solution. Do not use any type of abrasive or solvent.,0.7088175,0.7631287,You can use a vacuum cleaner to clean the PTAC.,0.46552724,1.0338986,You can use a vacuum cleaner to clean the PTAC.,0.46552724,1.0338986
