question,answer,model_output,model,cosine_similarities
What is the CS error code?,The CS error code indicates there is a condenser temperature sensor error,The CS error code is a code that indicates that the PTAC is not operating,first-run-raw(long-deleted).jsonl,0.8920734920375475
What is the OS error code?,The OS error code indicates there is an outside temperature sensor error,The OS error code is the number that is displayed on the LCD screen when the,first-run-raw(long-deleted).jsonl,0.9044390564015904
What is the HS error code?,The HS error code indicates there is an exhaust temperature sensor error,The HS error code is a code that indicates that the PTAC is not operating,first-run-raw(long-deleted).jsonl,0.8979793758904163
What is the LE error code?,The LE error code indicates there is a wall thermostat error,The LE error code is a code that indicates that the unit is not operating properly,first-run-raw(long-deleted).jsonl,0.9000012363297288
What is the LO error code?,The LO error code indicates the room temperature is lower than thirty two degrees,The LO error code is a code that indicates that the unit is not operating properly,first-run-raw(long-deleted).jsonl,0.8846595955774106
What is the FP error code?,The FP error code indicates the unit is in low temperature protection mode,The FP error code is a code that indicates that the fan is not operating properly,first-run-raw(long-deleted).jsonl,0.9205055928541036
What is the HI error code?,The HI error code indicates the room temperature is higher than ninety nine degrees,The HI error code is a code that indicates that the unit is not operating properly,first-run-raw(long-deleted).jsonl,0.8600769960401685
What should I do if I get an error code?,"Unplug the unit and plug it back in. If the error persists, look up the error code and how to fix it","If you get an error code, it means something is wrong with your unit.",first-run-raw(long-deleted).jsonl,0.899371084546989
How do I remove the front panel?,Pull out at the bottom to release it from the tabs and then lift up,"The front panel is held in place by a spring-loaded latch.
The",first-run-raw(long-deleted).jsonl,0.8543954276963592
How do I test the power supply cord?,"Plug in the air conditioner, press the TEST button and then press the RESET button. The power supply cord should now be supplying electricity to the unit",Test the power supply cord with a multimeter. If the power supply cord is,first-run-raw(long-deleted).jsonl,0.8919743488863626
What should I do if the power supply cord is damaged?,The power supply cord must be replaced,"If the power supply cord is damaged, you should replace it.
---",first-run-raw(long-deleted).jsonl,0.9351040741586896
What kind of refrigerant is used?,The PTAC unit uses R-410A refrigerant,Freon is the refrigerant used in most PTAC units. It is a,first-run-raw(long-deleted).jsonl,0.9108793256689749
What is low temperature protection?,If the unit senses the room temperature to be below thirty two degrees then the fan motor will turn on and warm the room to forty degrees,Low temperature protection is a feature that is available on some units. It is a,first-run-raw(long-deleted).jsonl,0.8351293460678637
What is the recommended gauge for thermostat wire?,The recommended wire gauge is 18 to 20 gauge solid thermostat wire,"The recommended gauge for thermostat wire is 1/4 inch.
,,",first-run-raw(long-deleted).jsonl,0.9153316906123525
How do I clean the air filters?,"Pull up on the air filter to remove, vacuum off heavy soil, run water through the filter, and dry thoroughly","Air filters are cleaned by running water through them.
---",first-run-raw(long-deleted).jsonl,0.9018977438276704
What should I do if an air filter is torn or damaged?,If the filter is damaged then it should be replaced immediately,"If an air filter is torn or damaged, replace it with a new one.",first-run-raw(long-deleted).jsonl,0.9243689689515411
How often should I clean the vent filter?,You should clean the vent filter twice a year,The PTAC vent filter should be cleaned at least once a year.,first-run-raw(long-deleted).jsonl,0.9428639307581682
Who do I call to request a warranty?,To request a warranty you can call Directy Supply Equipment and Furnishings at 1-800-634-7328,"Call the manufacturer or the HVAC company.
---",first-run-raw(long-deleted).jsonl,0.8575390040941676
Why does the PTAC vibrate?,Make sure the PTAC is secured firmly to the wall,"The PTAC vibrates to help keep the coils from freezing.
===",first-run-raw(long-deleted).jsonl,0.8292822933386251
How do I turn the PTAC off?,Press the red power button to turn the unit on or off,"The PTAC is powered by the fan. To turn the PTAC off,",first-run-raw(long-deleted).jsonl,0.8801202547213343
What are the dimensions of the PTAC?,The dimensions of the PTAC are 42.0x16.0x23.9 inches,The PTAC is approximately 1.5 to 2 feet (0.5 to,first-run-raw(long-deleted).jsonl,0.878960318365059
What is the COOL mode?,This mode cools the room automatically when the room temperature is above the setpoint and stops when the room temperature is 4 degrees below the setpoint,The COOL mode is the mode that the unit is in when it is not,first-run-raw(long-deleted).jsonl,0.8141113843653537
What is the HEAT mode?,This mode heats the room automatically to the setpoint temperature,The HEAT mode is a mode that allows the unit to run at a higher,first-run-raw(long-deleted).jsonl,0.8351332661059989
What is the FAN mode?,This mode uses only the fan without any heating or cooling,The FAN mode is the mode that the unit is in when it is not,first-run-raw(long-deleted).jsonl,0.8854837048402638
What does the Constant Fan button do?,"While in cooling mode, press this button to turn the constant fan function on or off. This will continuously run the fan","The Constant Fan button is used to control the fan speed.
The fan speed",first-run-raw(long-deleted).jsonl,0.9242054771573139
How do I fix an AS error code?,"You should check the connection between the temperature sensor and the PCB. If that is fine, then measure the resistance of the sensor",The AS error code is a code that indicates that the unit is not working properly,first-run-raw(long-deleted).jsonl,0.7824476379202208
How do I fix an E5 error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The E5 error code is a code that indicates that the unit is not working,first-run-raw(long-deleted).jsonl,0.7661212377888902
How do I fix a CS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The CS error code is a code that indicates a problem with the unit. The,first-run-raw(long-deleted).jsonl,0.7908496449532577
How do I fix an OS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The OS error code is a number that is displayed on the LCD screen of the,first-run-raw(long-deleted).jsonl,0.7813506980538237
How do I fix a HS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",You can try to reset the unit by turning the unit on and then turning it,first-run-raw(long-deleted).jsonl,0.8191679661304827
How do I fix an E4 error code?,Check the signal wire between the display board and the main board,The E4 error code is a code that indicates that the unit is not working,first-run-raw(long-deleted).jsonl,0.8213502502068267
How do I fix a LE error code?,Check if the wiring between the controller and dip switch board is correct,The first thing you should do is to check the unit's status. If it,first-run-raw(long-deleted).jsonl,0.8684669576849856
