question,answer,pdf_output,pdf_similarity,pdf_distance,web_output,web_similarity,web_distance,both_output,both_similarity,both_distance
What is the AS error code?,The AS error code indicates there is a room temperature sensor error,The AS error code is a code that indicates that the room temperature sensor is not functioning properly.,0.9424164680443398,0.33936273562087477,The AS error code is a code that is displayed on the PTAC’s display panel. It is a code that indicates that the unit is not operating properly.,0.8491205460705998,0.5493258898374539,AS error code is a code that indicates that the room temperature sensor is not functioning properly.,0.9363927000601341,0.35667155792848076
What is the ES error code?,The ES error code indicates there is an evaporator temperature sensor error,The ES error code indicates that the evaporator temperature sensor is not functioning properly.,0.956182395701275,0.29603243789443995,The ES error code is a code that is displayed on the PTAC unit when the unit is not operating properly. The ES error code is displayed on the PTAC unit when the unit is not operating properly. The ES error code is displayed on the,0.8429501982003575,0.5604458856776395,The ES error code is a code that indicates that the evaporator coil temperature is too high.,0.9294646107157861,0.37559388138628585
What is the CS error code?,The CS error code indicates there is a condenser temperature sensor error,The CS error code indicates that the room temperature sensor is not functioning properly.,0.9291379207545011,0.3764626828040037,The CS error code is a code that is displayed on the PTAC display panel. It is a code that indicates a problem with the compressor.,0.8856534139959735,0.47821875278369275,The CS error code is a code that indicates a problem with the compressor. The compressor is the part of the air conditioner that makes the air cold. The compressor is a motor that turns a fan to make the air cold. The compressor is located,0.8259918550759409,0.5899290541206008
What is the OS error code?,The OS error code indicates there is an outside temperature sensor error,The OS error code is a code that indicates a problem with the unit. The error code is displayed on the control panel.,0.8443225159479443,0.5579919283691629,The OS error code is a code that is displayed on the PTAC’s control panel. It is a code that indicates a problem with the unit’s operation.,0.8159279648469946,0.6067487650030087,The OS error code is a code that is displayed on the control panel of the air conditioner. It is a code that indicates a problem with the air conditioner.,0.8154208985498396,0.6075839059598528
What is the HS error code?,The HS error code indicates there is an exhaust temperature sensor error,HS error code is a code that indicates that the unit is not operating properly.,0.8641112242619196,0.5213228892969269,The HS error code is a code that is displayed on the PTAC unit when the unit is not operating properly. The HS error code is displayed on the PTAC unit when the unit is not operating properly. The HS error code is displayed on the,0.8177076564415929,0.603808464450204,HS error code is a compressor error code. It is a compressor error code that indicates that the compressor is not running.,0.8316042550670054,0.580337363942459
What is the LE error code?,The LE error code indicates there is a wall thermostat error,The LE error code is a code that indicates that the unit is not receiving a signal from the room temperature sensor.,0.8586300083785108,0.5317329777603944,The LE error code is a code that is displayed on the PTAC unit when the unit is not operating properly. The LE error code is displayed on the PTAC unit when the unit is not operating properly. The LE error code is displayed on the,0.8105644540848546,0.6155250604511235,"The LE error code is a code that indicates that the unit is not receiving a signal from the thermostat. This can be caused by a number of things, including a bad thermostat, a bad wiring connection, or a bad sensor.",0.8080270868211646,0.619633619272434
What is the LO error code?,The LO error code indicates the room temperature is lower than thirty two degrees,The LO error code indicates that the room temperature is lower than 32°F/0°C.,0.956223775454323,0.29589264014081224,The LO error code is a code that is displayed on the LCD screen of the PTAC. It is a code that indicates that the PTAC is not receiving the proper voltage from the power source.,0.7762880768003425,0.6688975070452088,The LO error code is a code that indicates that the room temperature is too low.,0.9351547757899221,0.3601256117700176
What is the FP error code?,The FP error code indicates the unit is in low temperature protection mode,The FP error code is a code that indicates that the unit is not receiving a signal from the room temperature sensor.,0.8637706657040467,0.5219757545730458,The FP error code is a code that is displayed on the PTAC unit when the fan motor is not running. The fan motor is the part of the PTAC unit that is responsible for moving air through the unit. The fan motor is controlled by,0.7817096230525833,0.660742588504499,The FP error code is a code that indicates that the unit is not receiving a signal from the thermostat.,0.8628387027902229,0.5237581534034581
What is the HI error code?,The HI error code indicates the room temperature is higher than ninety nine degrees,The HI error code indicates that the unit is not able to maintain the setpoint temperature.,0.8374966037219188,0.570093651670171,The HI error code is a code that is displayed on the PTAC unit when the fan speed is set to HI. The HI fan speed is the highest speed available on the PTAC unit.,0.8216212949055515,0.5972917207088423,The HI error code is a compressor restart delay. It is a safety feature that prevents the compressor from restarting too soon. The compressor will restart after 3 minutes of inactivity.,0.7277879265764453,0.7378510342286135
What should I do if I get an error code?,"Unplug the unit and plug it back in. If the error persists, look up the error code and how to fix it","If you get an error code, unplug the unit and plug it back in. If error repeats, call for service.",0.9313974794680928,0.37041197832453004,"If you get an error code, please call the manufacturer for assistance.",0.808362654688458,0.6190918266948744,"If you get an error code, unplug the unit and plug it back in. If error repeats, call for service.",0.9310129842025903,0.37144855597269266
How do I remove the front panel?,Pull out at the bottom to release it from the tabs and then lift up,"To remove the front panel, pull out at the bottom to release it from the tabs (1). Then lift up (2).",0.8531873754121254,0.541871959827508,The front panel is held in place by two screws. Remove the screws and the panel will come off.,0.8043424192211487,0.6255518779098223,"To remove the front panel, you will need to remove the screws that hold the front panel in place.",0.7916417759985962,0.6455357634484964
How do I test the power supply cord?,"Plug in the air conditioner, press the TEST button and then press the RESET button. The power supply cord should now be supplying electricity to the unit","Plug in the air conditioner. The power supply cord will have TWO buttons on the plug head. Press the TEST button; you will notice a click as the RESET button pops out. Press the RESET button; again, you will notice a",0.9380520751889395,0.35198843423687937,"Visually inspect the power cord for signs of damage such as fraying. If your window air conditioner is on the newer side, it should feature a circuit breaker in the power cord; check to see if the breaker has tripped. If everything",0.8511492450210226,0.5456202942789631,The power supply cord contains a current device that senses damage to the power cord. To test your power supply cord do the following: 1. Plug in the air conditioner. 2. The power supply cord will have TWO buttons on the plug head.,0.8907499415477771,0.4674399562505016
What should I do if the power supply cord is damaged?,The power supply cord must be replaced,"The power supply cord must be replaced by one obtained from Direct Supply Equipment & Furnishings. When 265V units are to be installed, the power supply must be permanent wiring. Permanent wiring may be done through the accessory subbase. An exposed cord",0.7090860412458271,0.7627764358450507,"If the power supply cord is damaged, replace it.",0.9275870897469792,0.3805598580383349,"The power supply cord must be replaced by one obtained from Direct Supply Equipment & Furnishings. When 265V units are to be installed, the power supply must be permanent wiring. Permanent wiring may be done through the accessory subbase. An exposed cord",0.7089848210346168,0.7629091072431373
What kind of refrigerant is used?,The PTAC unit uses R-410A refrigerant,R-410A refrigerant is used in all Direct Supply PTAC units.,0.9114145681576787,0.42091669499766887,The refrigerant used in a PTAC unit is a liquid called Freon. It is a chlorofluorocarbon (CFC) that is non-toxic and non-flammable. It is also non-ozone de,0.81027833372721,0.6159897460073082,R-410A is the most common refrigerant used in PTAC units.,0.9179037558176887,0.40520672576768774
What is low temperature protection?,If the unit senses the room temperature to be below thirty two degrees then the fan motor will turn on and warm the room to forty degrees,Low temperature protection is a safety feature that prevents the unit from operating at temperatures below the setpoint.,0.8343162284970808,0.5756453117079305,Low temperature protection is a safety feature that shuts off the unit if the temperature drops below a certain point.,0.8324094089908175,0.5789483460419933,Low temperature protection is a safety feature that prevents the unit from operating at temperatures below the setpoint.,0.8338257651915489,0.5764967020343031
What is the recommended gauge for thermostat wire?,The recommended wire gauge is 18 to 20 gauge solid thermostat wire,18- to 20-gauge solid thermostat wire is recommended.,0.9479151737425668,0.3227532374698436,The recommended gauge for thermostat wire is 14.,0.8635146011116918,0.5224660647106916,18- to 20-gauge solid thermostat wire is recommended.,0.9481531577657183,0.32201502937874615
How do I clean the air filters?,"Pull up on the air filter to remove, vacuum off heavy soil, run water through the filter, and dry thoroughly","To clean the air filters, follow these steps: 1. Turn off the unit and disconnect power supply. 2. To clean the air filters, use water and a mild detergent. DO NOT Pull up use bleach or abrasive cleaners. Some commercial",0.8316483078905988,0.5802614811009185,"The air filters should be cleaned once per month. Filters that are not cleaned will become clogged and restrict airflow, which can lead to major component damage. If an air filter becomes torn, has holes, or other damage, replace it with a",0.7945127767631908,0.641072898538855,"The air filters should be cleaned once per month. Filters that are not cleaned will become clogged and restrict airflow, which can lead to major component damage. If an air filter becomes torn, has holes, or other damage, replace it with a",0.7970276928417375,0.6371378197606008
What should I do if an air filter is torn or damaged?,If the filter is damaged then it should be replaced immediately,"If an air filter is torn or damaged, it should be replaced immediately.",0.9260215617631381,0.3846516417302198,"If an air filter is torn or damaged, replace it with a new one.",0.8638722737858009,0.521781053796442,"If an air filter is torn or damaged, replace it with a new one.",0.8632454771396876,0.5229809195021444
How often should I clean the vent filter?,You should clean the vent filter twice a year,The vent filter should be cleaned once every two weeks or as required.,0.913478290316531,0.4159848859437949,The vent filter should be cleaned once per month.,0.9046020112624574,0.43680197364400275,The vent filter should be cleaned monthly.,0.8966508471229704,0.4546408389826399
Who do I call to request a warranty?,To request a warranty you can call Directy Supply Equipment and Furnishings at 1-800-634-7328,"Please contact Direct Supply Equipment & Furnishings at 1-800-634-7328, 6767 N. Industrial Road, Milwaukee, WI 53223, SalesSupport@DirectSupply.com 1-800-634-7328",0.8776473222229408,0.4946770369631533,You can call the manufacturer directly to request a warranty.,0.8059858919614601,0.6229191318154146,"You can call Direct Supply Equipment & Furnishings at 1-800-634-7328, 6767 N. Industrial Road, Milwaukee, WI 53223, SalesSupport@DirectSupply.com 1-800-634-73",0.8861249643561413,0.47723167448650106
Why does the PTAC vibrate?,Make sure the PTAC is secured firmly to the wall,The PTAC is designed to vibrate when the compressor is running. This is normal.,0.755591230502465,0.6991548825867641,The PTAC is designed to vibrate when the compressor is running. This is normal.,0.7555979778572199,0.6991452220792561,The PTAC is designed to vibrate when the compressor is running. This is normal.,0.7554040493035049,0.6994225430532494
How do I turn the PTAC off?,Press the red power button to turn the unit on or off,Press the POWER button to turn the PTAC off.,0.8190143478933212,0.6016405167624533,"The PTAC can be turned off by pressing the ""OFF"" button on the front panel.",0.8220687759476437,0.5965420957162055,"The PTAC can be turned off by applying a 24VAC signal across terminals FC(L) and Dip switch for FRONT DESK CONTROL FC(N). If 24VAC is present, the PTAC will turn on. If 24V",0.708480591029304,0.7635697981416621
What are the dimensions of the PTAC?,The dimensions of the PTAC are 42.0x16.0x23.9 inches,"The PTAC is approximately 16"" wide by 16"" deep by 16"" high.",0.9117795852761007,0.42004860080688,"The PTAC is approximately 12"" x 12"" x 12"".",0.889443515296689,0.47022650003353006,"The PTAC is approximately 12"" x 12"" x 12"" (30.5 x 30.5 x 30.5 cm).",0.8811445785606475,0.48755598868137084
What is the COOL mode?,This mode cools the room automatically when the room temperature is above the setpoint and stops when the room temperature is 4 degrees below the setpoint,The COOL mode is used to cool the room.,0.7819895674595808,0.6603187788966108,The COOL mode is a setting that allows the compressor to run at a lower speed to cool the air.,0.8430641301456951,0.5602425853902853,The COOL mode is used to cool the room.,0.7850081870405471,0.6557313701017983
What is the HEAT mode?,This mode heats the room automatically to the setpoint temperature,The HEAT mode is used to heat the room.,0.8756306978902945,0.49873702661352254,The heat mode is used to heat the air in the room.,0.8746044945281645,0.5007904062004322,The HEAT mode is used to heat the room.,0.8778599037458523,0.4942471026532662
What is the FAN mode?,This mode uses only the fan without any heating or cooling,The FAN mode is used to control the fan speed. The fan speed can be set to run continuously in both heating and cooling mode via dip switch settings on the control board.,0.7639499912114432,0.6870953323943352,The FAN mode is the mode that the PTAC is in when the system is not in operation.,0.8276768447316003,0.5870658458466105,FAN mode is the fan speed that is selected by the user.,0.8077680107132615,0.6200515956539473
What does the Constant Fan button do?,"While in cooling mode, press this button to turn the constant fan function on or off. This will continuously run the fan","The Constant Fan button turns the Constant Fan function on or off. When the function is turned on, the constant fan light will illuminate. When the function is turned off, the POWER constant fan light will turn off.",0.9023069519794972,0.4420249838956822,The Constant Fan button is used to turn the fan on and off.,0.8837584812001162,0.4821649417998262,"The Constant Fan button turns the Constant Fan function on or off. When the function is turned on, the constant fan light will illuminate. When the function is turned off, the POWER constant fan light will turn off.",0.9022342390423602,0.4421894568416403
How do I fix an AS error code?,"You should check the connection between the temperature sensor and the PCB. If that is fine, then measure the resistance of the sensor","If the AS error code is displayed, unplug the unit and plug it back in. If error repeats, call for service.",0.8365958639752561,0.5716714717703445,The AS error code is a generic error code that is used by the air conditioning system to indicate a problem. The AS error code is a four-digit code that is displayed on the control panel. The AS error code is displayed on the control panel,0.7516331891346159,0.7047933037703286,AS error codes are caused by a problem with the air conditioner. The air conditioner will not operate properly. The air conditioner will not operate properly. The air conditioner will not operate properly. The air conditioner will not operate properly.,0.7422231132737491,0.7180207187954762
How do I fix an E5 error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The E5 error code indicates a problem with the evaporator coil. The evaporator coil is located in the outdoor unit.,0.7840520890662159,0.6571878051421899,The E5 error code is a generic error code that is used by many different brands of air conditioners. It is not a specific error code for a specific model.,0.7572952110962103,0.6967133964034893,The E5 error code is a generic error code that is used by many different brands of air conditioners. It is not a specific error code for your particular air conditioner.,0.7544457550790646,0.7007913220958027
How do I fix a CS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","If the unit is in cooling mode, the compressor will cycle off after 5 minutes. If the unit is in heating mode, the compressor will cycle off after 5 minutes.",0.7607606424595131,0.6917215519930975,The CS error code is a generic error code that is used by the central control system to indicate a problem. The error code is displayed on the control panel and on the display screen of the thermostat.,0.7665630929726981,0.6832816524494364,The following is a list of common error codes and their meanings.,0.7501078767110435,0.7069541797698705
How do I fix an OS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","If the unit displays an error code, unplug the unit and plug it back in. If the error code repeats, call for service.",0.8309233837756456,0.5815094509649931,The error code is a code that is displayed on the screen of the unit. It is a code that is displayed on the screen of the unit. It is a code that is displayed on the screen of the unit. It is a code that is,0.7478614524329299,0.7101246868045327,The error code is a code that is displayed on the screen of the unit. It is a code that is displayed on the screen of the unit. It is a code that is displayed on the screen of the unit. It is a code that is,0.7478969249447555,0.7100747590582662
How do I fix a HS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","If the error code is HS, the unit will not operate. The HS error code will appear on the control panel display.",0.7648405227065379,0.6857980354639156,The error code is a code that is displayed on the PTAC unit. It is a code that is displayed on the PTAC unit. It is a code that is displayed on the PTAC unit. It is a code that is displayed on the,0.7573303599101061,0.6966629429231702,The error code is a code that is displayed on the control panel of the unit. It is a code that is displayed on the control panel of the unit. It is a code that is displayed on the control panel of the unit. It is a,0.7560241056615009,0.6985354424924748
How do I fix an E4 error code?,Check the signal wire between the display board and the main board,The E4 error code indicates a problem with the evaporator coil. The evaporator coil is located in the outdoor unit.,0.7291545191436735,0.7359965628884225,The E4 error code is a generic error code that is used by many different brands of air conditioners. It is not a specific error code for your particular model.,0.6784100868788651,0.801984913643719,The E4 error code is a generic error code that is used by many different brands of air conditioners. It is not a specific error code for your particular model.,0.6791731463751522,0.80103288735878
How do I fix a LE error code?,Check if the wiring between the controller and dip switch board is correct,"If the unit is in heating mode, the temperature setting can not be higher than 84°F/29°C.",0.7025938287243034,0.7712407749672575,The LE error code is a generic error code that is used by the control board to indicate a problem with the unit. The LE error code is not a specific error code for a particular component.,0.695636014968425,0.7802102040922152,The LE error code is a result of a problem with the evaporator coil. The evaporator coil is located in the rear of the unit. The evaporator coil is a coil of copper tubing that is wrapped in a plastic sleeve. The evaporator,0.6756829656435855,0.8053782211749664
How do I access the dip switches?,Make sure the unit is powered off and then remove the front panel. The dip switches are located in the bottom right hand corner of the unit.,"To access the dip switches, remove the front panel. (See Fig. 1)",0.8399720624046242,0.5657347869231676,The PTAC has a front panel that can be removed to access the dip switches.,0.8431597174883174,0.5600719085051914,"To access the dip switches, remove the front panel.",0.8383756120407354,0.568549710937087
What does the S1 dip switch do?,If the S1 switch is up then only electric heat is on. If the S1 switch is down then the electric heat and pump heat are on.,The S1 dip switch controls the operation of the electric heat only.,0.8733642380935955,0.5032608822738508,The S1 dip switch is used to select the fan speed. The fan speed is controlled by the fan speed control relay. The fan speed control relay is controlled by the S1 dip switch. The S1 dip switch is located on the front of,0.8293008831128258,0.5842929133614778,The S1 dip switch is used to select the type of heat pump operation.,0.8744734289629646,0.5010520313263682
What does the S2 dip switch do?,If the S2 switch is in the up position the temperature display is in Celsius. If the S2 switch is in the down position the temperature display is in Fahrenheit.,The S2 dip switch controls the display of the temperature in °C or °F.,0.9008340131669479,0.44534476234635395,The S2 dip switch is used to select the fan speed. The fan speed is controlled by the fan speed control relay. The fan speed control relay is controlled by the S1 dip switch. The S1 dip switch is used to select the fan,0.8562849365282862,0.5361250823673012,The S2 dip switch is used to select the temperature display in °C or °F.,0.9050024874779561,0.43588415425894694
What does the S3 dip switch do?,"If the S3 switch is in the UP position, the wall thermostat is enabled. If the S3 switch is in the DOWN position, the control panel is enabled.",The S3 dip switch is used to connect a wired wall thermostat to the PTAC.,0.8654131877085559,0.5188194439888744,The S3 dip switch is used to select the fan speed. The fan speed is controlled by the fan speed control relay. The fan speed control relay is controlled by the S3 dip switch.,0.8739877088609889,0.5020205006764845,The S3 dip switch is used to enable or disable the wall thermostat.,0.8801448124535773,0.48960226917428556
What does the S4 dip switch do?,The S4 and S5 switches are used together to select the temperature set point range.,The S4 dip switch is used to select the setpoint range for the unit. The unit can be set to a range of 61°F - 86°F (16°C - 30°C) or 65°F - 78°F,0.8594485952443808,0.5301912956386672,The S4 dip switch is used to select the fan speed.,0.8801904969567241,0.48950894098003633,The S4 dip switch is used to select the setpoint range for the unit. The unit will cycle through the following setpoint ranges: S4*S5: 61°F - 86°F (16°C - 30°C),0.8588830947884324,0.53125682521786
What does the S5 dip switch do?,The S4 and S5 switches are used together to select the temperature set point range.,The S5 dip switch is used to select the setpoint range for the unit. The unit can be set to a range of 63°F - 80°F (17°C - 27°C).,0.8649262720126623,0.5197571275756439,The S5 dip switch is used to select the fan speed. The fan speed is controlled by the fan motor. The fan motor is controlled by the S5 relay. The S5 relay is controlled by the S5 dip switch. The S5,0.8042597439778078,0.625684053847009,"The S5 dip switch is used to select the setpoint range for the unit. The unit will cycle through the setpoint range when the S5 dip switch is in the UP position. When the S5 dip switch is in the DOWN position,",0.8511431771049159,0.5456314180559161
What does the S6 dip switch do?,"If the S6 switch is in the UP position, the fan is set to continuously run for heating. If the S6 switch is set in the DOWN position, the fan is set to cycle for heating.",The S6 dip switch is used to select the fan speed for heating or cooling.,0.877859235858635,0.4942484556631881,The S6 dip switch is used to select the fan speed. The fan speed is controlled by the fan motor. The fan motor is controlled by the fan speed control relay. The fan speed control relay is controlled by the fan speed control board. The,0.8375333769800065,0.5700291559526832,The S6 dip switch is used to select the fan cycle for heating or cooling.,0.8768928026266691,0.4961999671708952
What does the S7 dip switch do?,"If the S7 switch is in the UP position, the fan is set to continuously run for cooling. If the S7 switch is set in the DOWN position, the fan is set to cycle for cooling.",The S7 dip switch controls the fan speed and mode of the unit.,0.8483789784127974,0.5506741808187835,The S7 dip switch is used to select the fan speed. The fan speed is controlled by the fan motor. The fan motor is controlled by the S7 relay. The S7 relay is controlled by the S7 dip switch. The S7,0.8641267005804198,0.5212932140037858,The S7 dip switch is used to select the mode of operation of the PTAC. The S7 dip switch is located on the control panel. The S7 dip switch is used to select the mode of operation of the PTAC. The S,0.8391917029673664,0.5671125149268573
