question,answer,model_output,model,cosine_similarities,euclidean_distances
What is the LE error code?,The LE error code indicates there is a wall thermostat error,The LE error code is a code that indicates that the unit is not operating properly,first-run-raw(long-deleted).jsonl,0.7858917,0.65438265
What is the LO error code?,The LO error code indicates the room temperature is lower than thirty two degrees,The LO error code is a code that indicates that the unit is not operating properly,first-run-raw(long-deleted).jsonl,0.8089615,0.6181238
What is the FP error code?,The FP error code indicates the unit is in low temperature protection mode,The FP error code is a code that indicates that the fan is not operating properly,first-run-raw(long-deleted).jsonl,0.7701601,0.677997
What is the HI error code?,The HI error code indicates the room temperature is higher than ninety nine degrees,The HI error code is a code that indicates that the unit is not operating properly,first-run-raw(long-deleted).jsonl,0.74908483,0.70839965
What should I do if I get an error code?,"Unplug the unit and plug it back in. If the error persists, look up the error code and how to fix it","If you get an error code, it means something is wrong with your unit.",first-run-raw(long-deleted).jsonl,0.761974,0.6899653
How do I remove the front panel?,Pull out at the bottom to release it from the tabs and then lift up,"The front panel is held in place by a spring-loaded latch.
The",first-run-raw(long-deleted).jsonl,0.29751846,1.1853116
How do I test the power supply cord?,"Plug in the air conditioner, press the TEST button and then press the RESET button. The power supply cord should now be supplying electricity to the unit",Test the power supply cord with a multimeter. If the power supply cord is,first-run-raw(long-deleted).jsonl,0.4681738,1.0313352
What should I do if the power supply cord is damaged?,The power supply cord must be replaced,"If the power supply cord is damaged, you should replace it.
---",first-run-raw(long-deleted).jsonl,0.89479667,0.45870134
What kind of refrigerant is used?,The PTAC unit uses R-410A refrigerant,Freon is the refrigerant used in most PTAC units. It is a,first-run-raw(long-deleted).jsonl,0.80264944,0.62825245
What is low temperature protection?,If the unit senses the room temperature to be below thirty two degrees then the fan motor will turn on and warm the room to forty degrees,Low temperature protection is a feature that is available on some units. It is a,first-run-raw(long-deleted).jsonl,0.346029,1.1436526
What is the recommended gauge for thermostat wire?,The recommended wire gauge is 18 to 20 gauge solid thermostat wire,"The recommended gauge for thermostat wire is 1/4 inch.
,,",first-run-raw(long-deleted).jsonl,0.8885309,0.47216332
How do I clean the air filters?,"Pull up on the air filter to remove, vacuum off heavy soil, run water through the filter, and dry thoroughly","Air filters are cleaned by running water through them.
---",first-run-raw(long-deleted).jsonl,0.69982463,0.7748231
What should I do if an air filter is torn or damaged?,If the filter is damaged then it should be replaced immediately,"If an air filter is torn or damaged, replace it with a new one.",first-run-raw(long-deleted).jsonl,0.81161314,0.61381924
How often should I clean the vent filter?,You should clean the vent filter twice a year,The PTAC vent filter should be cleaned at least once a year.,first-run-raw(long-deleted).jsonl,0.80648714,0.6221141
Who do I call to request a warranty?,To request a warranty you can call Directy Supply Equipment and Furnishings at 1-800-634-7328,"Call the manufacturer or the HVAC company.
---",first-run-raw(long-deleted).jsonl,0.4530537,1.0458933
Why does the PTAC vibrate?,Make sure the PTAC is secured firmly to the wall,"The PTAC vibrates to help keep the coils from freezing.
===",first-run-raw(long-deleted).jsonl,0.43520686,1.0628201
How do I turn the PTAC off?,Press the red power button to turn the unit on or off,"The PTAC is powered by the fan. To turn the PTAC off,",first-run-raw(long-deleted).jsonl,0.43379882,1.0641439
What are the dimensions of the PTAC?,The dimensions of the PTAC are 42.0x16.0x23.9 inches,The PTAC is approximately 1.5 to 2 feet (0.5 to,first-run-raw(long-deleted).jsonl,0.589952,0.9055915
What is the COOL mode?,This mode cools the room automatically when the room temperature is above the setpoint and stops when the room temperature is 4 degrees below the setpoint,The COOL mode is the mode that the unit is in when it is not,first-run-raw(long-deleted).jsonl,0.64537984,0.84216434
What is the HEAT mode?,This mode heats the room automatically to the setpoint temperature,The HEAT mode is a mode that allows the unit to run at a higher,first-run-raw(long-deleted).jsonl,0.6960788,0.7796425
What is the FAN mode?,This mode uses only the fan without any heating or cooling,The FAN mode is the mode that the unit is in when it is not,first-run-raw(long-deleted).jsonl,0.761106,0.69122237
What does the Constant Fan button do?,"While in cooling mode, press this button to turn the constant fan function on or off. This will continuously run the fan","The Constant Fan button is used to control the fan speed.
The fan speed",first-run-raw(long-deleted).jsonl,0.62931603,0.8610274
How do I fix an AS error code?,"You should check the connection between the temperature sensor and the PCB. If that is fine, then measure the resistance of the sensor",The AS error code is a code that indicates that the unit is not working properly,first-run-raw(long-deleted).jsonl,0.33527562,1.1530176
How do I fix an E5 error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The E5 error code is a code that indicates that the unit is not working,first-run-raw(long-deleted).jsonl,0.34843978,1.1415431
How do I fix a CS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The CS error code is a code that indicates a problem with the unit. The,first-run-raw(long-deleted).jsonl,0.27398002,1.2050064
How do I fix an OS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The OS error code is a number that is displayed on the LCD screen of the,first-run-raw(long-deleted).jsonl,0.20006584,1.2648593
How do I fix a HS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",You can try to reset the unit by turning the unit on and then turning it,first-run-raw(long-deleted).jsonl,0.3126324,1.1724913
How do I fix an E4 error code?,Check the signal wire between the display board and the main board,The E4 error code is a code that indicates that the unit is not working,first-run-raw(long-deleted).jsonl,0.34395155,1.1454681
How do I fix a LE error code?,Check if the wiring between the controller and dip switch board is correct,The first thing you should do is to check the unit's status. If it,first-run-raw(long-deleted).jsonl,0.33567786,1.1526685
